0,35.00,3.67,16.50,3.77,14.00,1.63
250,28.50,3.35,17.50,3.77,12.25,3.90
500,35.50,2.87,15.75,2.86,17.75,5.07
750,29.75,12.19,16.25,2.17,20.75,2.59
1000,27.00,2.12,16.75,0.83,24.75,1.64
1250,36.00,5.61,12.25,2.28,19.25,2.68
1500,38.50,4.33,16.00,5.70,15.25,2.38
1750,35.25,2.49,16.00,1.41,15.00,2.83
2000,35.75,7.05,11.00,4.42,12.50,8.08
2250,36.00,7.04,15.00,2.12,16.75,4.02
2500,23.75,5.49,12.33,2.05,16.75,5.31
2750,37.00,5.05,16.67,2.36,17.00,1.41
3000,39.50,2.18,20.67,2.05,15.67,6.13
3250,36.50,2.29,21.33,1.89,12.00,2.45
3500,31.50,7.23,17.25,5.07,15.00,3.54
3750,33.00,5.72,20.25,0.83,14.33,9.74
4000,30.40,2.33,19.50,2.06,22.20,3.31
4250,37.50,4.97,12.00,4.74,13.25,3.03
4500,41.33,0.94,18.50,4.09,11.67,7.76
4750,38.50,0.50,19.00,2.00,16.50,1.50
5000,38.50,0.50,19.00,2.00,16.50,1.50
5250,36.15,3.74,16.50,4.17,14.69,6.12
5500,36.15,3.74,16.50,4.17,14.69,6.12
5750,32.00,2.74,17.67,3.68,15.00,2.16
6000,41.25,3.77,15.25,1.79,17.50,1.50
6250,38.50,0.50,15.50,3.28,18.50,1.12
6500,36.00,3.67,14.50,2.18,16.75,2.38
6750,40.75,6.38,12.25,6.61,14.00,5.52
7000,28.50,1.12,15.25,4.09,14.25,5.12
7250,25.25,3.63,14.67,4.92,16.67,1.89
7500,39.00,3.54,16.75,3.27,19.25,2.38
7750,29.25,5.67,13.00,5.83,16.00,1.22
8000,25.67,4.19,17.67,2.05,17.50,3.50
8250,39.00,3.54,13.75,2.59,18.75,1.79
8500,30.00,0.71,14.00,2.92,19.00,4.06
8750,24.50,3.57,15.50,3.35,16.25,6.30
9000,38.25,5.80,12.00,2.55,18.00,2.74
9250,37.50,1.50,15.33,1.25,18.00,1.63
9500,35.33,1.70,16.00,1.41,17.25,3.56
9750,40.25,3.63,13.75,5.31,15.25,5.67
10000,33.75,6.53,5.50,4.15,16.25,4.55
10250,31.75,1.30,16.75,5.17,12.75,8.26
10500,36.75,3.34,14.75,2.17,16.50,3.84
10750,40.50,1.50,17.75,3.11,17.00,2.45
11000,37.75,1.09,16.75,3.49,22.00,2.35
11250,41.00,2.74,9.50,4.92,14.75,3.56
11500,34.50,6.18,13.33,3.40,12.25,7.08
11750,28.67,1.70,19.67,1.25,17.50,0.50
12000,36.00,6.36,14.00,4.06,19.25,1.09
12250,41.00,2.55,10.33,6.24,14.25,3.34
12500,37.50,1.50,16.25,3.83,17.00,3.24
12750,39.00,4.90,21.00,0.00,12.00,3.00
13000,35.67,6.13,11.25,6.18,17.67,4.11
13250,23.25,8.70,10.75,4.15,15.00,6.00
13500,38.00,5.20,17.75,3.11,12.75,5.26
13750,38.67,1.89,16.33,1.25,12.75,2.49
14000,35.33,1.70,21.33,0.47,18.00,1.41
14250,37.50,1.50,20.75,1.09,12.75,5.31
14500,34.25,5.07,12.50,0.87,18.50,4.09
14750,32.00,3.24,12.25,5.63,18.25,6.30
15000,31.50,6.87,14.33,3.30,14.33,3.30
15250,40.75,2.68,14.33,4.99,17.00,1.41
15500,36.50,2.50,21.25,0.43,15.00,4.30
15750,37.67,1.25,18.50,2.18,22.33,1.25
