time,avg_rss12,var_rss12,avg_rss13,var_rss13,avg_rss23,var_rss23
0,23.75,0.43,24.00,0.00,24.67,0.47
250,22.67,0.94,24.00,0.00,24.67,0.94
500,21.33,0.47,24.00,0.00,24.75,0.83
750,21.00,0.00,24.00,0.00,25.25,1.09
1000,23.00,0.71,23.75,0.43,24.75,0.83
1250,24.33,0.47,24.00,0.00,24.25,0.43
1500,23.75,1.09,24.25,0.43,24.75,0.83
1750,21.75,0.43,24.00,0.00,24.75,0.43
2000,20.25,0.43,24.50,0.50,25.75,0.83
2250,19.00,0.71,24.25,0.43,25.75,1.30
2500,17.50,0.87,24.25,0.43,25.00,1.00
2750,15.75,1.30,24.75,0.43,25.00,1.00
3000,14.00,1.22,24.25,0.43,25.00,0.71
3250,15.00,0.71,24.75,0.83,25.75,0.83
3500,15.00,4.06,24.00,0.71,26.25,0.83
3750,20.75,1.64,22.00,1.41,26.67,0.47
4000,19.00,2.35,21.50,1.12,26.25,0.83
4250,17.25,4.92,23.80,0.40,26.40,0.80
4500,18.50,4.82,23.00,0.71,26.25,1.30
4750,17.50,1.80,22.25,0.83,26.00,1.22
5000,14.00,1.87,23.67,0.47,25.00,0.82
5250,19.00,1.63,21.00,0.00,25.33,0.47
5500,21.00,0.71,20.75,0.43,24.75,0.83
5750,21.00,1.22,21.00,0.00,25.00,0.71
6000,21.33,0.47,22.33,0.94,25.25,0.43
6250,22.00,0.71,21.00,0.71,26.50,0.50
6500,23.50,0.50,20.75,0.43,26.50,0.50
6750,24.75,0.43,21.75,0.83,26.25,0.83
7000,22.25,1.79,22.00,0.00,26.50,0.87
7250,20.50,0.50,21.50,0.50,25.25,0.83
7500,19.00,1.00,22.67,0.47,24.67,0.47
7750,19.75,0.43,21.25,0.43,25.75,0.43
8000,20.25,0.83,20.75,1.09,24.25,0.43
8250,21.00,0.00,18.00,1.73,24.00,0.00
8500,21.25,0.83,20.50,0.87,26.25,1.30
8750,21.25,0.43,18.50,0.50,26.75,0.43
9000,21.67,0.94,19.50,0.50,27.00,0.00
9250,22.00,0.82,21.33,0.47,27.00,0.00
9500,22.00,0.82,20.67,0.47,27.00,0.00
9750,20.75,1.09,20.75,1.09,27.25,0.43
10000,21.00,0.71,18.75,1.48,27.25,0.43
10250,22.25,0.83,17.75,0.83,27.50,0.50
10500,22.25,0.83,18.50,1.12,27.00,0.00
10750,23.00,0.82,18.33,1.25,27.50,0.50
11000,22.75,0.83,21.75,0.83,27.25,0.43
11250,23.25,0.83,21.25,0.43,28.00,0.00
11500,22.75,0.83,21.00,0.00,27.67,0.47
11750,24.00,0.00,21.33,0.47,27.33,0.47
12000,24.00,0.00,23.00,0.00,27.50,0.50
12250,24.00,0.00,23.00,0.00,27.00,0.00
12500,24.00,0.00,23.00,0.00,27.00,0.00
12750,24.00,0.00,23.00,0.00,27.00,0.00
13000,24.00,0.00,22.50,0.50,27.00,0.00
13250,24.00,0.00,22.75,0.43,27.00,0.00
13500,24.00,0.00,22.33,0.47,27.00,0.00
13750,24.00,0.00,22.25,0.43,27.25,0.43
14000,24.00,0.00,22.25,0.43,27.50,0.50
14250,24.00,0.00,22.25,0.43,27.50,0.50
14500,24.00,0.00,23.00,0.00,27.50,0.50
14750,24.00,0.00,22.00,0.00,27.00,0.00
15000,23.50,0.50,21.67,0.47,27.00,0.00
15250,20.75,2.95,21.75,0.43,27.00,0.00
15500,13.75,2.59,21.50,0.50,18.25,1.79
15750,20.00,1.22,20.25,0.43,21.00,0.00
16000,21.67,0.47,19.50,0.50,23.00,0.82
16250,20.75,1.30,21.00,0.00,24.00,0.00
16500,21.00,2.55,19.25,1.92,24.00,0.00
16750,19.00,1.58,20.50,0.87,24.50,0.87
17000,20.75,0.43,11.00,4.53,24.25,0.43
17250,23.75,0.43,12.75,0.83,24.75,0.83
17500,25.33,1.25,17.67,4.11,26.25,0.83
17750,25.50,1.12,17.25,4.82,26.25,0.83
18000,26.25,0.43,19.50,1.66,26.25,0.83
18250,26.75,0.43,19.25,1.09,26.75,1.09
18500,26.00,1.41,16.67,0.47,26.75,0.43
